State,County,Number of Hospitals,Percent private or nonprofit,number of acute care hospitals,avg acute care rating,median acute care rating
TX,ANDREWS,1,0,1,3.0,3.0
KY,ADAIR,1,0,1,3.0,3.0
NE,CHEYENNE,1,100,0,3.0,3.0
NC,SAMPSON,1,0,1,2.0,2.0
VA,HALIFAX,1,100,1,4.0,4.0
ID,WASHINGTON,1,0,0,nan,nan
MO,AUDRAIN,1,100,1,4.0,4.0
AL,PIKE,1,0,1,2.0,2.0
KS,GEARY,1,0,1,3.0,3.0
CO,KIOWA,1,0,0,nan,nan
MT,SANDERS,1,100,0,nan,nan
VA,CHESAPEAKE CITY,1,0,1,2.0,2.0
NC,MARTIN,1,0,1,2.0,2.0
NC,BUNCOMBE,1,100,1,5.0,5.0
CO,HUERFANO,1,0,0,3.0,3.0
NE,CHERRY,1,0,0,4.0,4.0
OK,LOGAN,1,100,0,4.0,4.0
MI,BARRY,1,0,1,2.0,2.0
MN,MARSHALL,1,100,0,nan,nan
NY,LIVINGSTON,1,100,1,3.0,3.0
SD,GRANT,1,100,0,nan,nan
TN,HARDIN,1,0,1,3.0,3.0
NC,ALLEGHANY,1,100,0,nan,nan
SC,FAIRFIELD,1,0,0,nan,nan
TX,KERR,1,100,1,4.0,4.0
TX,CRANE,1,0,0,nan,nan
MS,PERRY,1,0,0,nan,nan
SC,UNION,1,0,1,nan,nan
NM,GUADALUPE,1,0,1,nan,nan
WA,FERRY,1,0,0,nan,nan
IL,UNION,1,0,0,4.0,4.0
CO,ARCHULETA,1,0,0,nan,nan
KY,BOYLE,1,100,1,3.0,3.0
NE,WAYNE,1,100,0,3.0,3.0
FL,OKEECHOBEE,1,0,1,2.0,2.0
CO,KIT CARSON,1,0,0,nan,nan
AR,BAXTER,1,100,1,2.0,2.0
GA,DOUGHERTY,1,0,1,2.0,2.0
GA,BARROW,1,0,1,3.0,3.0
OK,HARMON,1,0,0,nan,nan
TX,STARR,1,0,1,2.0,2.0
CO,LOGAN,1,100,1,4.0,4.0
CA,TUOLUMNE,1,0,1,2.0,2.0
MI,CLINTON,1,0,0,4.0,4.0
IA,AUDUBON,1,0,0,nan,nan
IN,NOBLE,1,100,1,4.0,4.0
FL,CALHOUN,1,100,0,nan,nan
OK,KINGFISHER,1,100,0,4.0,4.0
WI,IOWA,1,100,0,5.0,5.0
MO,CAMDEN,1,0,1,3.0,3.0
PA,BEDFORD,1,0,1,4.0,4.0
WA,KITTITAS,1,0,0,3.0,3.0
MN,NORMAN,1,100,0,nan,nan
ID,FRANKLIN,1,0,0,nan,nan
WI,CALUMET,1,100,0,nan,nan
TX,REFUGIO,1,0,0,nan,nan
MA,DUKES,1,100,0,4.0,4.0
WV,NICHOLAS,1,0,1,2.0,2.0
KY,LAUREL,1,100,1,3.0,3.0
ID,CLEARWATER,1,100,0,3.0,3.0
AR,GREENE,1,100,1,1.0,1.0
GA,PICKENS,1,0,1,3.0,3.0
TN,HENDERSON,1,0,1,4.0,4.0
TX,BASTROP,1,0,1,4.0,4.0
TX,BEE,1,0,1,3.0,3.0
SD,BEADLE,1,100,0,nan,nan
GA,COFFEE,1,0,1,3.0,3.0
LA,WEST CARROLL,1,0,1,3.0,3.0
OR,JEFFERSON,1,100,0,4.0,4.0
AR,LAWRENCE,1,0,0,nan,nan
GA,EMANUEL,1,0,1,4.0,4.0
TX,JASPER,1,0,1,4.0,4.0
IN,SCOTT,1,0,0,4.0,4.0
KS,COMANCHE,1,0,0,nan,nan
MS,TATE,1,0,1,3.0,3.0
OH,DARKE,1,100,1,3.0,3.0
NE,MORRILL,1,0,0,nan,nan
KY,LETCHER,1,0,1,3.0,3.0
IA,HOWARD,1,0,0,nan,nan
MT,POWELL,1,100,0,nan,nan
GA,PEACH,1,0,0,3.0,3.0
NE,ADAMS,1,0,1,4.0,4.0
AL,GREENE,1,0,1,3.0,3.0
FL,HARDEE,1,100,0,4.0,4.0
IA,JONES,1,100,0,4.0,4.0
ID,BOUNDARY,1,0,0,nan,nan
NE,BOONE,1,0,0,4.0,4.0
OH,KNOX,1,0,1,3.0,3.0
ID,MINIDOKA,1,0,0,nan,nan
WA,FRANKLIN,1,0,0,3.0,3.0
OH,CLINTON,1,0,1,3.0,3.0
MS,SMITH,1,0,1,nan,nan
WY,JOHNSON,1,0,0,nan,nan
NC,CABARRUS,1,0,1,3.0,3.0
LA,SABINE,1,0,1,2.0,2.0
NE,BUTLER,1,0,0,4.0,4.0
CO,WELD,1,100,1,4.0,4.0
MI,MACKINAC,1,100,0,4.0,4.0
WI,JUNEAU,1,0,1,3.0,3.0
ND,RAMSEY,1,100,0,4.0,4.0
FL,FLAGLER,1,0,1,2.0,2.0
TN,HARDEMAN,1,0,1,3.0,3.0
OK,GREER,1,0,0,nan,nan
NV,PERSHING,1,0,0,nan,nan
ID,BUTTE,1,0,0,nan,nan
LA,LINCOLN,1,0,1,1.0,1.0
KS,MARSHALL,1,100,0,3.0,3.0
TX,SAN PATRICIO,1,0,1,4.0,4.0
KY,HOPKINS,1,100,1,2.0,2.0
NH,BELKNAP,1,100,1,2.0,2.0
AL,WALKER,1,100,1,4.0,4.0
TN,FENTRESS,1,0,1,4.0,4.0
MS,ATTALA,1,0,0,3.0,3.0
GA,TATTNALL,1,0,0,nan,nan
OR,CURRY,1,0,0,2.0,2.0
TX,BOSQUE,1,0,0,nan,nan
AR,RANDOLPH,1,100,1,4.0,4.0
IN,BLACKFORD,1,100,0,4.0,4.0
MS,TISHOMINGO,1,100,1,4.0,4.0
MS,COVINGTON,1,0,0,2.0,2.0
IL,RICHLAND,1,100,1,3.0,3.0
MI,ARENAC,1,0,0,4.0,4.0
WI,PORTAGE,1,0,1,5.0,5.0
PA,WAYNE,1,100,1,2.0,2.0
MS,LOWNDES,1,100,1,2.0,2.0
TX,TRINITY,1,100,1,3.0,3.0
UT,UINTAH,1,0,1,3.0,3.0
NC,PENDER,1,0,0,nan,nan
MO,LAFAYETTE,1,0,0,3.0,3.0
MI,OSCEOLA,1,100,0,4.0,4.0
PA,WARREN,1,100,1,3.0,3.0
NE,HALL,1,0,1,4.0,4.0
KS,KIOWA,1,0,0,nan,nan
OR,HOOD RIVER,1,0,0,4.0,4.0
MI,BENZIE,1,0,0,nan,nan
TX,LYNN,1,0,0,nan,nan
MI,IONIA,1,100,0,4.0,4.0
PR,UTUADO,1,0,1,nan,nan
NC,CHATHAM,1,100,0,nan,nan
VA,MECKLENBURG,1,100,1,2.0,2.0
KY,JOHNSON,1,0,1,4.0,4.0
MT,CARBON,1,100,0,nan,nan
AL,MORGAN,1,0,1,2.0,2.0
ID,CARIBOU,1,0,0,nan,nan
SC,CHEROKEE,1,100,1,2.0,2.0
OR,UNION,1,100,0,3.0,3.0
WY,WESTON,1,0,0,nan,nan
IA,BENTON,1,100,0,nan,nan
GA,CLINCH,1,0,0,nan,nan
TN,COCKE,1,0,1,3.0,3.0
NY,FULTON,1,100,1,4.0,4.0
WV,MORGAN,1,100,0,4.0,4.0
